"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
41841,"AD-ALV","heliport","Andorra la Vella Heliport",42.500499725299996,1.5171200037,3450,"EU","AD","AD-07","Andorra La Vella","no",,"ALV",,,"http://pl.wikipedia.org/wiki/Heliport_Andorra_la_Vella",
43750,"BE-0001","closed","Froidchapelle Airport",50.176387786899994,4.35222196579,902,"EU","BE","BE-WHT","Froidchapelle","no",,,,,,
43753,"BE-0002","small_airport","Virelles Airport",50.11777877807617,4.3305559158325195,919,"EU","BE","BE-WHT","Chimay","no",,,,,,
43762,"BE-0003","small_airport","Sovet Airport",50.28666687011719,5.04027795791626,919,"EU","BE","BE-WNA","Ciney","no",,,,,,
301715,"BE-0004","heliport","Zomergem Heliport",51.131389,3.522222,66,"EU","BE","BE-VOV",,"no","EBZM",,,,,
311689,"BE-0006","small_airport","Neerpelt ULM",51.211944444400004,5.47861111111,148,"EU","BE","BE-VLI",,"no","EBNE",,,,,
312154,"BE-0007","heliport","Imelda Hospital Helipad",51.01767,4.55819,30,"EU","BE","BE-VAN","Bonheiden","no",,,,,,
43724,"EBAK","heliport","Kiel heliport",51.2001533508,4.359219074249999,10,"EU","BE","BE-VAN","Antwerpen","no","EBAK",,,,,
298604,"EBAL","heliport","Helistrip",50.943333333300004,4.05583333333,,"EU","BE","BE-VWV","Aalst","no","EBAL",,,,,
29029,"EBAM","small_airport","Amougies Airport",50.7401008605957,3.4848999977111816,49,"EU","BE","BE-WHT","Mont-de-l'Enclus","no","EBAM",,,,,
30962,"EBAR","small_airport","Arlon-Sterpenich ULM",49.6627998352,5.886940002439999,1138,"EU","BE","BE-WLX","Arlon","no","EBAR","QON",,"http://www.arelair.be",,
43726,"EBAS","heliport","'s Gravenwezel heliport",51.246944427490234,4.542778015136719,20,"EU","BE","BE-VAN","Schilde","no","EBAS",,,,,
43743,"EBAT","heliport","Meldert heliport",50.9275016784668,4.114721775054932,131,"EU","BE","BE-VOV","Aalst","no","EBAT",,,,,
30963,"EBAV","small_airport","Avernas-le-Bauduin Airport",50.70669937133789,5.068059921264648,394,"EU","BE","BE-WLG","Hannut","no","EBAV",,,,,
2152,"EBAW","medium_airport","Antwerp International Airport (Deurne)",51.1893997192,4.46027994156,39,"EU","BE","BE-VAN","Antwerp","yes","EBAW","ANR",,"http://www.antwerp-airport.be/","http://en.wikipedia.org/wiki/Antwerp_International_Airport",
29030,"EBBA","heliport","Baudoir Heliport",50.4696334636,3.83872389793,98,"EU","BE","BE-WHT","Baudoir","no","EBBA",,,,,
43725,"EBBC","heliport","Luyckx heliport",51.30472183227539,4.629444122314453,99,"EU","BE","BE-VAN","Brecht","no","EBBC",,,,,
2153,"EBBE","medium_airport","Beauvechain Air Base",50.75859832763672,4.768330097198486,370,"EU","BE","BE-WBR","Beauvechain","no","EBBE",,,,"http://en.wikipedia.org/wiki/Beauvechain_Air_Base",
30964,"EBBG","small_airport","Michamps Ulmodrome",50.0527992249,5.79861021042,1770,"EU","BE","BE-WLX","Bastogne","no","EBBG",,,,,
43723,"EBBH","heliport","Keysers heliport",51.343055725097656,4.621943950653076,82,"EU","BE","BE-VAN","Brecht","no","EBBH",,,,,
2154,"EBBL","medium_airport","Kleine Brogel Air Base",51.16830062866211,5.46999979019165,200,"EU","BE","BE-VLI","Kleine Brogel","no","EBBL",,,,,"EBMB, Melsbroek Air Base, Brussels National Airport"
30965,"EBBN","small_airport","Büllingen Airport",50.415000915527344,6.276390075683594,2067,"EU","BE","BE-WLG","Büllingen","no","EBBN",,,,,
30966,"EBBO","small_airport","Mogimont Ulmodrome",49.866401672399995,5.068059921259999,1394,"EU","BE","BE-WLX","Bouillon","no","EBBO",,,,,
2155,"EBBR","large_airport","Brussels Airport",50.901401519800004,4.48443984985,184,"EU","BE","BE-BRU","Brussels","yes","EBBR","BRU",,"http://www.brusselsairport.be/en/","http://en.wikipedia.org/wiki/Brussels_Airport",
